name	N0	lambda	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55
Main-Post	156274.8655584581	-0.004664791098085928	149932			147332	148492	144466	142125	144122	146131	143336	141512	142468	144330	141512	139899	141106	141592	138931	136318	138031	138348	135825	133603	135258	135759	132807	131117	132149	132651	130541	128419	129569	130698	128085	126499	127435	127719	125784	123682	124600	124613	122807	122791	122960	123754	122061	120041
Ruhr-Nachrichten, Hellweger Anzeiger	168275.95752180513	-0.005195461512444891	161251			159918	160157	157006	155402	158586	156883	152826	149632	152933	153650	151347	148655	150815	152204	146831	144176	145752	148964	141408	138158	139333	144297	136722	135161	136209	139614	133123	131524	132772	135305	130072	128874	130424	133784	130385	129816	131527	133273	132515	131889	133179	135387	132055	129891
Hessische/Niedersächsische Allgemeine	264450.8592297411	-0.004317934728476048	255289			252368	251054	249860	246528	246754	246056	245026	241539	242136	242561	239719	237757	238073	238343	235295	233001	233863	234685	231063	229243	230487	231645	228547	225313	226176	227642	224600	222170	223369	222634	220957	218667	219412	219695	218522	215849	215913	216766	214380	210725	210238	210396	208774	205011
Kieler Nachrichten	157872.54688928305	-0.010355207511951198	152059			149495	148157	147462	146970	146407	145742	145503	145984	112630	110846	111354	111128	110187	109070	109748	109104	108495	107637	108453	106610	106837	106997	106400	105765	104986	105015	104434	103485	102513	102907	102029	101166	100389	100716	101428	100265	99417	99732	98763	97491	97427	98190	96732	96256
Kölner Stadt-Anzeiger, Kölnische Rundschau, Express	692909.8110976929	-0.007676286028789267	654174			628355	629632	627949	615983	606947	599800	607106	592260	582094	584439	589423	571284	567823	566767	573570	558044	548448	556940	565427	540663	530910	547814	553832	531480	520151	529403	537017	509270	514778	521290	527321	489153	501876	488289	505313	468564	477073	471785	480528	449201	460473	455062	461267	429810
Abendzeitung	174398.27943358253	-0.010303502884006555	151268			145238	159536	150313	145638	144208	142846	143501	143289	140543	156241	142557	140979	128662	128322	125607	130570	128369	137485	126493	130625	125619	125852	124040	125241	120285	129754	117720	114431	115516	115391	112625	113935	110054	126344	115932	104787	109241	107952	107634	107135	105751	114303	73272	48445
Südwest-Presse	345584.22731784167	-0.003197907887417378	336308			333621	333353	329399	326349	329728	328610	325523	322393	325759	325259	320630	317915	320403	319738	317289	313645	317165	316245	314385	309090	312813	313152	310492	306714	309703	310396	306664	302335	305753	306155	302368	297859	302444	302449	297473	294251	298325	298274	293435	289667	293144	292967	290936	287094
Ostsee-Zeitung	180501.35933602237	-0.00464845969197169	176902			173787	171207	171972	174100	168221	164931	165932	168775	162664	160088	161655	165193	157426	156171	159041	161843	155034	153452	154216	158010	152978	149581	152801	157550	150199	147074	149688	155037	148192	145405	146973	153059	145610	143689	145511	151128	144300	141592	141718	149366	142081	138880	140049	147002
Sächsische Zeitung	332975.2932755681	-0.006173546856204654	318986			310646	307540	301753	296340	297715	305958	301036	296692	298159	294204	291454	287212	288971	285347	284549	278331	280413	278167	274637	271402	273083	271179	268353	265047	267013	265893	262734	258941	262414	258689	256154	253049	256036	251901	252318	248616	251597	248085	244884	241347	245074	240650	237443	234802
Braunschweiger Zeitung	195131.8657240577	-0.005365043905159826	187579			180628	184438	179426	174429	176420	179199	176258	174037	175226	176650	172568	168710	174701	171213	171504	167178	170069	168750	166069	163168	165990	166462	166331	159353	160993	162635	161707	156029	157608	159148	158649	153327	153586	154283	156238	151125	151281	150772	150547	144866	144561	144785	146528	140214
