title	alias	N0	lambda	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55
Westfälischer Anzeiger	WA	164481	-0.0033299182199772875	162061			159945	159352	157516	155198	156362	156271	154525	152327	153918	153264	151332	149678	150497	150978	149306	146912	148444	149049	147922	145320	147813	149331	148509	149312	151872	153569	144664	142569	145385	142939	141826	139224	141584	139265	139349	137471	140765	139444	141166	136271	139230	138854	137746	139534
Kicker (Donnerstag)		251464	-0.007702320232735965	213300			206217	214861	221003	235125	214147	221742	209286	236471	203067	208740	215059	232376	204921	210646	212693	242811	197187	201942	206945	219995	186626	188860	193982	221689	179741	183203	183038	213338	171372	180819	175958	190932	160158	167946	176598	185070	168734	161206	164433	180350	158701	153749	154462	173742
Liboriusblatt		105504	-0.023916847985261058	81107			81578	79484	76914	74952	73302	71449	68882	67266	65605	63996	62500	60954	60144	58632	57095	55506	54341	52646	51530	50010	49086	47429	46271	44693	43379	41661	40290	38927	37970	36800	36035	35473	35006	33529	33533	34026	34232	33520	32863	32620	32461	32056	32122	32333
PAGE		30468	-0.012904913703429922	26072			27300	24012	25405	25203	25149	24522	24302	23086	22407	22841	22935	21625	22237	22300	21062	21716	21208	21043	22086	20702	21630	22014	21271	19750	19233	19498	18976	17442	18044	17718	18580	18086	17365	17071	16975	15859	15896	15488	15070	14965	13994	14182	15737	16045
Münchner Kirchenzeitung		48263	-0.009450306131002114	42725			41355	40428	40149	40006	39947	39578	39354	39727	39943	39662	39740	39673	39681	39412	39222		38897	38469	38014	37854	37566	37052	36693	36291	35994	35434	34808	34187	33861	33124	32813	32488	31802	31000	30801	30454	29879	29497	29190	28855	28336	27282	26776	26180
Musikexpress		66828	-0.0049020584645976155	65849			68008	64390	60964	61185	59638	63994	63734	60786	58225	62949	60238	59966	61896	58881	58547	55595	56634	54823	52976	54066	52323	59000	54516	54655	57964	54890	55879	55285	55060	54216	52998	53243	55385	52814	53429	53794	52909	53706	52823	52813	53787	52743	52441	52315
Mädchen		247238	-0.014014697388978694	220179			204836	206745	215177	227644	207315	188079	191906	218948	158315	183417	167753	187784	138325	165100	150803	172470	152035	160169	161941	183655	135737	166501	146653	172757	153886	141772	137001	158202	126586	136844	134622	162704	123082	123207	125749	140114	117133	104721	110515	112633	101905	130994	134206	134763
Merian		90321	-0.009518770968861981	85033			77370	81208	76062	75737	75247	79213	70160	70777	75857	73413	74393	71829	70781	75416	76209	72429	71803	75093	82325	64163	87440	55721	72847	68005	54652	55945	65680	49582	59661	54077	54236	61376	51877	53428	53881	43943	46531	54408	48983	56979	44477	60691	82167	58927
MACup		37529	-0.018343122268103904	36149			35218	28101	28616	26659	25810	27034	28322	25165	23559	24649	23811	22216	22537	24527	24060	21040	21136	22035	21103	20041	20882	21626	21888	19908	19695	21161	21382	17389	17772	17603														
Meine Geschichte		91546	-0.03523670731059114	55735			55393	59048	62779	59131	46817	59843	48395	42809	43566	40768	51880	46533	36513	31944	33748	39028	27880	36761	33689	29317	25565	27128																						
Manager Magazin		146780	-0.00544264767443213	126347			126412	127042	126365	126397	129166	128432	134599	139845	129678	141077	132752	136050	133807	136295	134306	137661	133427	127316	131691	147785	136720	126663	127583	121947	118034	112547	111043	111371	108791	111710	114075	112553	115669	110048	109579	107616	110922	107032	112816	109896	111718	109089	108018	113005
MOTORRAD		200301	-0.012415247049694132	177486			158034	171720	159377	172362	149878	167099	154128	165105	148812	166217	155850	160373	141349	161871	146949	153344	139664	152066	144603	140367	127523	138325	128708	130714	119865	126320	123882	121678	110170	117695	116751	113521	107523	110461	110724	110310	105985	110767	106140	109958	105503	107635	106419	105698
Meine Familie & ich		358005	0.0007908429977913446	375389			371507	389935	362508	406136	376689	372304	349998	385507	327701	320445	363971	369118	369595	342471	357412	367183	376011	368475	337813	325220	376702	331642	343072	349657	399084	364625	367824	365180	395805	340399	328936	336295	388522	348132	353047	413841	398752	396290	395145	364282	421571	373549	368099	365893
Mein schöner Garten		465265	-0.004669573923931158	485577			369752	467190	445954	434282	363066	457361	445744	449117	383696	451499	428095	431808	369633	442758	413146	417824	350760	446473	414445	411535	321997	415489	401268	407762	334974	411328	404888	394155	326875	408385	404676	392861	328597	409187	377714	383497	326026	408593	378518	368018	326681	363351	386000	360305
Motor Klassik		95129	-0.0035102001149032768	88791			81389	84507	77869	82792	84262	95282	86152	96274	89163	89045	84917	93695	93942	85837	88636	96002	90124	89184	88989	99864	82293	85922	83141	100204	79502	82167	84040	89349	81977	91247	81343	77502	73933	76009	76739	80888	74960	80046	76287	78509	74892	75614	74237	80701
Oldtimer Markt		160901	-0.004053034063016887	158560			164387	162670	156205	150194	167917	139714	150600	155459	152468	137081	138401	138843	140204	143926	139219	145094	143135	135793	128497	137593	138081	128832	139633	137498	140916	142296	136248	137747	143675	133111	132465	143776	140281	126205	135207	138094	130847	134873	128724	137691	132888	127346	131101	134187
Meier.Das Stadtmagazin		39738	-0.019664193899862806	34057			30722	30395	29277	28657	28698	28547	31342	29597	27098	25996	24061	27962	23407	25177	23881	21727	22443	21233	21737	19984	19357	18314	19571	23133	19187	17914	19204	19971	17955	17100	18721	18005	14010	18937	16498	15247								
Auto Bild		763173	-0.007135227073714751	720907			666692	723233	662328	670492	655451	689793	646128	671891	602826	657087	605918	643590	663595	662262	604845	700995	619402	646135	578894	630604	621501	649788	587424	651611	596561	621803	565046	592507	587185	602570	541369	603700	543518	558099	527482	583504	533931	545559	503089	537205	500781	498107	478775	478878
Neue Welt		421467	-0.011880173392818875	381955			372970	373742	359681	356347	348447	340945	344438	349158	314041	332170	318191	331305	306561	310472	311099	315483	291648	299751	294523	293376	272652	282278	273548	279273	270355	268711	267736	261702	242826	245991	244316	261281	239616	250857	249241	245959	239333	241175	240481	239303	218744	230041	226303	233317
