title	alias	N0	lambda	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55
extra / tour		852933	-0.003753289837232285	834624			811496	836165	766024	818921	804799	690341	762529	803866	804292	704900		831704	830559	721753	805234	858012	848106	734112	812839	863839		718898	825091	881707	764340	599415	661390	686534	681573	620151	676699	723167	719620	629696	688610	730007	751179	650348	705689	744485	760167	664936	722255	758903
JÄGER		24819	0.004049822622731801	28338			29032	29782	26287	26427	28433	28461	26599	27014	26155	26952	24645	25241	25486	26709	24714	25268	26965	27223	25439	26036	27859	25727	25659	26188	28608	29847	28567	26997	32604	30646	27683	30957	32102	31344	27967	30429	33416	32517	28728	32093	35018	31443	25326	31579
Kirche und Leben		159317	-0.014960831713808137	135271			131726	129646	128383	127282	126493	125014	123321	121096	117865	114998	113336	112288	111201	109204	108002	106856	105714	103830	102294	100295	98790	96934	95421	95566	94736	93415	90934	89898	89426	88031	86265	86167	82912	81455	80154	78984	78143	75983	74564	73156	72059	69869	68557	67033
Katholisches Sonntagsblatt		62320	-0.006670698475938361	55177			55880	55976	56270	56200	56109	55380	55231	55449	55658	55359	55052	54520	54136	53567	53200	52976	52860	52414	52194	51659	51669	50651	49377	49178	49202	48471	48046	47708	47359	47040	46518	46182	45608	44768	44000	43541	43272	42712	42300	42317	44552	48758	46970	42996
Konradsblatt		75528	-0.007395236216936881	70209			68083	67187	66530	66127	65952	65183	64297	63996	63814	63196	65364	66545	63980	62684	62632	62640	62652	62001	61507	61453	61315	59894	59331	59174	58986	58526	59075	60807	57667	56768	56053	55451	55029	54403	53740	53217	52685	51656	50925	50382	49771	48945	48151	47299
Kirchenbote des Bistums Osnabrück		37261	-0.00908124074558399	34332			33511	33108	32532	32205	31970	31257	30814	30602	30505	30175	30030	30046	30026	29605	29282	29083	29085	28704	28448	28610	29064	29368	28801	27930	27583	26960	26521	26315	26126	26442	26648	25699	25228	24956	24497	23944	23778	23272	22904	22729	22632	22244	22063	21890
Kirchenzeitung für das Bistum Eichstätt		30607	-0.010608225216421845	27510			26762	26335	26032	25645	25404	25104	24881	24818	24727	24457	24247	24054	24032	23776	23620	23463	23253	22895	22567	22328	22124	21796	21556	21377	21232	20849	20600	20400	20216	19903	19712	19530	19400	19062	18738	18521	18339	17994	17775	17578	17418	17044	16693	16466
Westfälischer Anzeiger	WA	157846	-0.0032506371045773145	155847			153412	153428	151506	149494	150586	150450	148890	146743	148353	147821	146326	144462	145268	145129	143871	141568	143128	142438	141016	139382	141357	141564	141816	143166	145618	146893	138502	137337	139516	137772	135705	134238	136583	134542	134107	132262	135108	133540	135352	133329	135946	135899	135024	132265
Kicker (Donnerstag)		249558	-0.007954780094715695	211353			204186	212746	218937	233047	211956	219528	206925	233791	200328	206069	210603	227797	202175	208462	210575	239945	194827	199895	203056	215314	183243	186316	191546	218786	177113	180662	177617	209597	168703	177590	172854	187289	155145	162049	172368	181194	165823	158358	161123	177532	156066	151260	151901	171124
Liboriusblatt		105171	-0.024027619455540227	80529			81113	79215	76649	74559	72936	71161	68626	66955	65337	63665	62141	60674	59706	58341	56836	55247	54058	52377	50979	49695	48796	47174	45821	44399	43056	41341	39850	38609	37614	36493	35741	35167	34671	33300	33018	33553	33940	33294	32642	32416	32263	31864	31926	32031
PAGE		30178	-0.013906369276520239	25766			27015	23733	25137	24617	24799	24201	24077	22859	22101	22552	22171	20908	20499	21680	19778	20561	20603	19705	20215	19880	20631	20910	19973	18627	17577	17946	17460	16665	17026	17117	17911	17572	16631	16464	15801	15251	15438	15025	14322	14322	13530	13665	14928	14723
Münchner Kirchenzeitung		46850	-0.009249298449301406	41718			40344	39419	39152	39009	38961	38594	38381	38755	38963	38672	38768	38698	38708	38432	38258		37941	37521	37070	36912	36627	36089	35771	35384	35089	34814	33937	33368	32685	32375	31429	31722	31094	30576	30185	29776	29107	29046	28856	28558	28043	26988	26489	25894
Musikexpress		64367	-0.005074947129522631	62939			65692	62229	58824	58398	57591	61894	61532	58580	55982	60757	58020	57761	59666	56646	56298	53320	54006	52398	50544	51398	49759	55719	51783	51535	55195	52108	52998	52290	52631	51742	50494	50741	52841	50348	50627	51427	50645	51618	50744	50750	51739	50658	50595	50565
Mädchen		243353	-0.013831237471324979	217429			202464	204421	212940	225383	205064	185809	189671	216743	156085	181241	165564	185546	136085	162787	148596	170291	149843	158029	159880	181475	133722	164477	144679	170622	151649	139817	135581	157309	125780	136040	133912	161977	122233	122454	125096	139350	116359	103914	110101	112055	101287	130371	133522	134278
Merian		86889	-0.010135376888550998	79867			73572	77450	72416	72057	71695	75664	68034	68723	73952	69043	72342	70001	68924	72931	74428	67625	66461	69426	76753	58837	81562	50233	67178	62583	50119	51674	64143	45522	54891	50083	50257	57355	47821	49694	49850	40744	43294	51048	45677	53658	41247	57359	78673	55478
MACup		37423	-0.019088635660655027	35771			34998	27842	28382	26252	25505	26815	28121	24977	23354	24378	23370	21734	20890	24069	23163	20052	20306	20716	20432	19476	20486	21300	21463	19549	19055	20743	21007	17015	17005	17363														
Meine Geschichte		91518	-0.03542686273755504	55603			55261	58953	62682	59066	46698	59725	48277	42681	43438	40641	51754	45057	36388	31777	33634	38915	27767	36653	33581	29210	25459	27023																						
Manager Magazin		138994	-0.005016747373588414	120257			120345	120993	119589	120277	124257	123626	129322	129358	124550	135845	127876	131407	127482	131406	129214	131744	127189	120821	125478	142109	126880	123075	123810	117066	113774	108654	106876	107234	104584	106514	109264	108758	112353	105673	106456	104573	107542	103821	109517	106527	107950	105749	104622	109596
MOTORRAD		196437	-0.012414484473127986	175216			154864	169268	156071	169319	146964	164112	151359	161993	145555	162902	152520	156765	137915	157571	144047	150401	136632	148692	141977	137884	124795	135850	126267	128477	117422	124120	121720	119507	107907	115380	114322	111402	105283	108637	108552	108221	103929	108828	104163	107942	103710	105779	104341	103609
Meine Familie & ich		354720	0.0009439415769039132	371970			369576	387449	360864	402148	374885	369882	348199	382944	325899	318789	362251	366626	366813	340775	355112	365449	370099	367350	336667	324087	375404	330517	341983	348428	397446	363004	367050	364588	395220	339445	328188	335557	387841	347386	352384	413169	398106	395588	394484	363618	420935	372836	367432	365266
Mein schöner Garten		461025	-0.004789011413753696	480248			364417	463027	440515	428693	357522	453594	439976	442303	378730	446512	422215	425172	364963	437522	408164	412286	346106	441400	409788	407056	319437	411840	396682	401632	330507	407075	400609	388208	322917	405128	400849	387744	325026	405243	373427	377539	321548	404670	374251	362266	323219	360268	370793	348098
Motor Klassik		92332	-0.0033697212032409844	86774			79072	82188	75610	80572	82143	92981	83832	93958	86749	86560	82171	91238	91218	83347	86152	93498	87487	86679	86608	97531	80049	83654	80799	98407	77468	80410	82223	87948	80315	87872	79453	75455	72249	74391	74813	79150	73334	78410	74694	76834	73258	74000	72490	78956
Oldtimer Markt		159334	-0.004101091245690626	157020			163133	160798	154753	148757	166493	138289	149173	154054	151124	135755	137080	137528	138184	141850	137519	143356	141422	134010	126780	135879	136328	127016	137882	135734	139042	140350	134525	136021	142028	131409	130873	142173	138813	124593	133715	136598	129280	133352	127286	136239	131482	125837	129657	132804
Meier.Das Stadtmagazin		38666	-0.020075140842469044	33365			30041	29759	28638	28015	28008	27840	30612	27620	26273	25282	23489	25206	22769	24600	23262	21108	20824	20300	20548	19031	18767	17808	18992	19421	18958	17393	18455	17190	17761	16925	18540	16828	13829	18760	16317	15065								
Auto Bild		759416	-0.007178692400977884	716086			659937	718420	656722	666958	653436	687504	643888	669875	600812	652072	603027	640023	658848	659168	601720	698090	616315	642900	575892	627104	618417	646594	582683	647177	592245	618738	549982	587966	583989	599205	538260	600453	539471	555027	523429	580173	530752	542314	499407	532381	497516	495050	474969	475881
Neue Welt		421923	-0.012268343281849817	379288			371550	372322	358260	354969	347098	339615	343091	347803	312676	330811	316831	329936	305170	309072	309694	313983	290190	298507	293300	287680	266950	276627	267887	273546	264695	262955	262268	256389	237609	240777	239237	256217	234929	246216	245383	242066	235520	237719	237237	236326	215879	227217	223529	230553
Neue Revue		309342	-0.012499173696952802	283261			260681	256809	252981	273935	226757	249677	234906	252071	236932	246763	242227	256623	234997	239127	208044	222761	206592	208470	208261																									
Neue Post		1234598	-0.01296750659164159	1165477			1086551	1070345	1033488	1051004	993750	1006995	987165	998516	943029	955523	918612	941987	879273	900104	867020	867680	801047	816572	784420	801631	770986	770798	763736	773892	738370	715442	708663	746037	701371	715307	701884	707206	686907	697465	694736	704799	653541	685979	676578	698101	632266	647633	621647	650504
Das Neue		412907	-0.019829206307394227	371268			331839	320793	305464	306478	285150	294080	291101	296560	274659	273157	263739	284218	248387	254017	234489	234577	215057	204171	195671	238793	213024	228166	209991	218923	190213	200030	181346	190216	181047	205165	185062	185750	173329	178857	163302	169429	154957	153232	151036	150870	140196	146753	143124	143674
Das Neue Blatt		927298	-0.014559018481736807	898802			816555	792786	751165	779541	723203	721525	711480	741482	676978	666939	654561	683047	633162	628828	609401	626790	576933	589355	569150	576203	533333	537846	536080	552217	518897	525183	522254	526787	500522	500253	474688	508907	473824	495949	482748	488669	478057	463888	466097	463002	446204	452761	449657	447034
Psychologie heute		94820	-0.0022002405951584607	100738			86564	93804	86307	97523	81345	96711	93754	88145		86507	90452	88677	88658	88518	85577	90161	81847	86610	80327	90805	84588	87178	91405	89599	97191	97155	86859	92332	89627	90624	86886	88879	99723	89043	84919	90000	80031	76939	82451	85482	75173	79624	76622	86853
